,product_code,product_name
0,040729,"EGGS OF BIRDS, FRESH, OTHER THAN CHICKENS' EGGS, NOT FERTILIZED FOR INCUBATION"
1,190590,"BREAD, PASTRY, CAKES, BISCUITS AND SIMILAR BAKED PRODUCTS, NESOI, AND PUDDINGS, WHETHER OR NOT CONTAINING CHOCOLATE, FRUIT, NUTS OR CONFECTIONARY"
2,282619,"FLUORIDES, NESOI"
3,293138,SALT OF METHYLPHOSPHONIC ACID AND (AMINOIMINOMETHYL)UREA(1:1)
4,291818,CHLOROBENZILATE (ISO)
5,382561,"WASTE FROM THE CHEMICLA OR ALLIED INDUSTRIES, MAINLY CONTAINING ORGANIC CONSTITUENTS"
6,721931,"FLAT-ROLLED STAINLESS STEEL PRODUCTS, 600 MM OR MORE WIDE, COLD-ROLLED, 4.75 MM OR MORE THICK"
7,620791,"MEN'S OR BOYS' SINGLETS AND OTHER UNDERSHIRTS, BATHROBES, DRESSING GOWNS AND SIMILAR ARTICLES OF COTTON, NOT KNITTED OR CROCHETED"
8,600524,WARP KNIT FABRICS (INCLUDING THOSE MADE ON GALLOON KNITTING MACHINES) OF PRINTED COTTON
9,610832,"WOMEN'S OR GIRLS' NIGHTDRESSES AND PAJAMAS OF MANMADE FIBERS, KNITTED OR CROCHETED"
10,741521,"WASHERS, INCLUDING SPRING WASHERS, OF COPPER"
11,620211,"WOMEN'S OR GIRLS' OVERCOATS, RAINCOATS, CARCOATS, CAPES, CLOAKS AND SIMILAR ARTICLES OF WOOL OR FINE ANIMAL HAIR, NOT KNITTED OR CROCHETED"
12,580429,"LACE IN THE PIECE, IN STRIPS OR IN MOTIFS, MECHANICALLY MADE, OF TEXTILE MATERIALS OTHER THAN MANMADE FIBERS"
13,420231,"ARTICLES NORMALLY CARRIED IN THE POCKET OR HANDBAG, WITH OUTER SURFACE OF LEATHER OR OF COMPOSITION LEATHER"
14,450410,"BLOCKS, PLATES, SHEETS AND STRIP, TILES OF ANY SHAPE, SOLID CYLINDERS, INCLUDING DISKS, OF AGGLOMERATED CORK"
15,520829,"WOVEN FABRICS OF COTTON, 85% OR MORE COTTON BY WEIGHT, BLEACHED, OTHER THAN PLAIN WEAVE, NESOI, WEIGHING NOT OVER 200 G/M2"
16,480591,"PAPER & PAPERBOARD, UNCOATED, WEIGHING 150 G/M2 OR LESS, IN ROLLS OR SHEETS, NESOI"
