route_ID,route_points,product_code,product_code,product_name
1.64E+19,"[['55.7558', '37.6178'], ['30.0444', '31.2358']]",852610,190590,"BREAD, PASTRY, CAKES, BISCUITS AND SIMILAR BAKED PRODUCTS, NESOI, AND PUDDINGS, WHETHER OR NOT CONTAINING CHOCOLATE, FRUIT, NUTS OR CONFECTIONARY"
1.64E+19,"[['55.7558', '37.6178'], ['31.1667', '121.4667']]",270900,382561,"WASTE FROM THE CHEMICLA OR ALLIED INDUSTRIES, MAINLY CONTAINING ORGANIC CONSTITUENTS"
1.64E+19,"[['55.7558', '37.6178'], ['23.1288', '113.259']]",270900,721931,"FLAT-ROLLED STAINLESS STEEL PRODUCTS, 600 MM OR MORE WIDE, COLD-ROLLED, 4.75 MM OR MORE THICK"
1.64E+19,"[['55.7558', '37.6178'], ['39.904', '116.4075']]",270900,620791,"MEN'S OR BOYS' SINGLETS AND OTHER UNDERSHIRTS, BATHROBES, DRESSING GOWNS AND SIMILAR ARTICLES OF COTTON, NOT KNITTED OR CROCHETED"
1.64E+19,"[['55.7558', '37.6178'], ['35.6839', '139.7744']]",711021,580429,"LACE IN THE PIECE, IN STRIPS OR IN MOTIFS, MECHANICALLY MADE, OF TEXTILE MATERIALS OTHER THAN MANMADE FIBERS"
1.64E+19,"[['55.7558', '37.6178'], ['37.56', '126.99']]",270900,854690,"ELECTRICAL INSULATORS, NESOI"
1.64E+19,"[['55.7558', '37.6178'], ['19.4333', '-99.1333']]",720712,902150,PACEMAKERS FOR STIMULATING HEART MUSCLES
1.64E+19,"[['55.7558', '37.6178'], ['-6.2146', '106.8451']]",270112,842230,"MACHINERY FOR FILLING, CLOSING, SEALING, CAPSULING OR LABELING BOTTLES, CANS, BOXES OR OTHER CONTAINERS; MACHINERY FOR AERATING BEVERAGES"
1.64E+19,"[['55.7558', '37.6178'], ['-23.5504', '-46.6339']]",271012,842410,"FIRE EXTINGUISHERS, WHETHER OR NOT CHARGED"
1.64E+19,"[['55.7558', '37.6178'], ['13.75', '100.5167']]",880240,851821,"SINGLE LOUDSPEAKERS, MOUNTED IN THEIR ENCLOSURES"
1.64E+19,"[['55.7558', '37.6178'], ['14.6', '120.9833']]",270900,340510,"POLISHES, CREAMS AND SIMILAR PREPARATIONS FOR FOOTWEAR OR LEATHER"
12500150821826645935rd,"[['48.8566', '2.3522'], ['51.5072', '-0.1275']]",711319,711890,"COIN, NESOI"
1.16E+19,"[['31.1667', '121.4667'], ['30.0444', '31.2358']]",901380,851770,"PARTS OF TELEPHONE SETS AND OTHER APPARATUS FOR THE TRANSMISSION OR RECEPTION OF VOICE, IMAGES OR OTHER DATA"
1.16E+19,"[['23.1288', '113.259'], ['30.0444', '31.2358']]",901380,844540,TEXTILE WINDING (INCLUDING WEFT WINDING) OR REELING MACHINES
1.16E+19,"[['39.904', '116.4075'], ['30.0444', '31.2358']]",901380,150300,"LARD STEARIN, LARD OIL, OLEOSTEARIN, OLEO-OIL AND TALLOW OIL, NOT EMULSIFIED OR MIXED OR OTHERWISE PREPARED"
1.16E+19,"[['31.1667', '121.4667'], ['55.7558', '37.6178']]",430310,282550,COPPER OXIDES AND HYDROXIDES
1.16E+19,"[['23.1288', '113.259'], ['55.7558', '37.6178']]",430310,282749,"CHLORIDE OXIDES AND CHLORIDE HYDROXIDES, NESOI"
1.16E+19,"[['39.904', '116.4075'], ['55.7558', '37.6178']]",430310,381210,PREPARED RUBBER ACCELERATORS
1.16E+19,"[['31.1667', '121.4667'], ['35.6839', '139.7744']]",851712,381400,"ORGANIC COMPOSITE SOLVENTS AND THINNERS, NESOI; PREPARED PAINT OR VARNISH REMOVERS"
1.16E+19,"[['23.1288', '113.259'], ['35.6839', '139.7744']]",851712,391590,"WASTE, PARINGS AND SCRAP, OF PLASTICS, NESOI"
1.16E+19,"[['39.904', '116.4075'], ['35.6839', '139.7744']]",851712,392111,"PLATES, SHEETS, FILM, FOIL AND STRIP OF PLASTICS NESOI, CELLULAR POLYMERS OF STYRENE"
1.16E+19,"[['31.1667', '121.4667'], ['37.56', '126.99']]",854232,540233,"SYNTHETIC FILAMENT YARN OTHER THAN SEWING THREAD, NOT PUT UP FOR RETAIL SALE, TEXTURED YARN OF POLYESTERS"
1.16E+19,"[['23.1288', '113.259'], ['37.56', '126.99']]",854232,440321,"WOOD IN THE ROUGH OF PINE, OF WHICH ANY CROSS SECTION DIMENSION IS 15CM OR MORE"
1.16E+19,"[['39.904', '116.4075'], ['37.56', '126.99']]",854232,440712,"FIR WOOD SAWN OR CHIPPED LENGTHWISE, SLICED OR PEELED, OF A THICKNESS EXCEEDING 6MM"
